date,home_team,score,away_team
17-09-2023,FC Seoul,0 - 1,Gwangju FC
23-09-2023,Jeju United FC,1 - 3,FC Seoul
30-09-2023,Suwon City FC,1 - 1,FC Seoul
08-10-2023,FC Seoul,0 - 2,Jeonbuk Motors
22-10-2023,FC Seoul,2 - 1,Gangwon FC
29-10-2023,Suwon City FC,3 - 4,FC Seoul
11-11-2023,Jeju United FC,0 - 0,FC Seoul
25-11-2023,FC Seoul,0 - 1,Suwon Bluewings
02-12-2023,Daejeon Citizen,2 - 2,FC Seoul
26-02-2023,Daejeon Citizen,2 - 0,Gangwon FC
05-03-2023,Gangwon FC,0 - 1,Ulsan Hyundai FC
11-03-2023,Gangwon FC,1 - 1,Daegu FC
18-03-2023,Pohang Steelers,1 - 1,Gangwon FC
02-04-2023,Suwon Bluewings,1 - 1,Gangwon FC
09-04-2023,Gangwon FC,0 - 1,Jeju United FC
16-04-2023,Gangwon FC,0 - 2,Incheon United
23-04-2023,Gwangju FC,0 - 0,Gangwon FC
26-04-2023,Gangwon FC,3 - 2,FC Seoul
29-04-2023,Jeonbuk Motors,0 - 1,Gangwon FC
06-05-2023,Suwon City FC,2 - 0,Gangwon FC
09-05-2023,Ulsan Hyundai FC,1 - 0,Gangwon FC
13-05-2023,Gangwon FC,0 - 2,Suwon Bluewings
21-05-2023,Gangwon FC,0 - 0,Pohang Steelers
28-05-2023,FC Seoul,1 - 0,Gangwon FC
03-06-2023,Jeju United FC,2 - 2,Gangwon FC
07-06-2023,Gangwon FC,1 - 2,Daejeon Citizen
11-06-2023,Gangwon FC,1 - 2,Jeonbuk Motors
25-06-2023,Suwon City FC,1 - 1,Gangwon FC
02-07-2023,Incheon United,1 - 0,Gangwon FC
07-07-2023,Gangwon FC,1 - 1,Gwangju FC
11-07-2023,Daegu FC,0 - 0,Gangwon FC
15-07-2023,Gangwon FC,1 - 1,FC Seoul
22-07-2023,Gangwon FC,1 - 2,Suwon Bluewings
06-08-2023,Jeju United FC,1 - 1,Gangwon FC
12-08-2023,Gangwon FC,2 - 0,Ulsan Hyundai FC
19-08-2023,Gangwon FC,1 - 2,Suwon City FC
26-08-2023,Gangwon FC,1 - 1,Pohang Steelers
01-09-2023,Daegu FC,1 - 0,Gangwon FC
16-09-2023,Jeonbuk Motors,1 - 3,Gangwon FC
24-09-2023,Gangwon FC,1 - 1,Incheon United
01-10-2023,Gangwon FC,1 - 1,Daejeon Citizen
08-10-2023,Gwangju FC,1 - 0,Gangwon FC
22-10-2023,FC Seoul,2 - 1,Gangwon FC
28-10-2023,Gangwon FC,1 - 1,Jeju United FC
11-11-2023,Daejeon Citizen,0 - 1,Gangwon FC
25-11-2023,Gangwon FC,2 - 0,Suwon City FC
02-12-2023,Suwon Bluewings,0 - 0,Gangwon FC
06-12-2023,Gimpo Citizen,0 - 0,Gangwon FC
09-12-2023,Gangwon FC,2 - 1,Gimpo Citizen
06-12-2023,Gimpo Citizen,0 - 0,Gangwon FC
09-12-2023,Gangwon FC,2 - 1,Gimpo Citizen
25-02-2023,Suwon Bluewings,0 - 1,Gwangju FC
05-03-2023,Gwangju FC,0 - 2,FC Seoul
12-03-2023,Jeonbuk Motors,2 - 0,Gwangju FC
18-03-2023,Gwangju FC,5 - 0,Incheon United
01-04-2023,Gwangju FC,2 - 0,Suwon City FC
08-04-2023,Pohang Steelers,2 - 0,Gwangju FC
16-04-2023,Daegu FC,3 - 4,Gwangju FC
23-04-2023,Gwangju FC,0 - 0,Gangwon FC
26-04-2023,Gwangju FC,0 - 1,Jeju United FC
30-04-2023,Ulsan Hyundai FC,2 - 1,Gwangju FC
06-05-2023,Gwangju FC,0 - 0,Daejeon Citizen
09-05-2023,FC Seoul,3 - 1,Gwangju FC
13-05-2023,Gwangju FC,0 - 2,Daegu FC
20-05-2023,Incheon United,1 - 1,Gwangju FC
28-05-2023,Suwon City FC,0 - 2,Gwangju FC
03-06-2023,Gwangju FC,4 - 2,Pohang Steelers
07-06-2023,Gwangju FC,2 - 1,Suwon Bluewings
10-06-2023,Daejeon Citizen,1 - 1,Gwangju FC
24-06-2023,Gwangju FC,2 - 0,Jeonbuk Motors
02-07-2023,Gwangju FC,0 - 1,Ulsan Hyundai FC
07-07-2023,Gangwon FC,1 - 1,Gwangju FC
11-07-2023,Jeju United FC,0 - 0,Gwangju FC
15-07-2023,Gwangju FC,1 - 1,Daegu FC
22-07-2023,Suwon City FC,0 - 1,Gwangju FC
04-08-2023,Gwangju FC,3 - 0,Daejeon Citizen
13-08-2023,Pohang Steelers,1 - 1,Gwangju FC
18-08-2023,Incheon United,2 - 2,Gwangju FC
27-08-2023,Gwangju FC,4 - 0,Suwon Bluewings
03-09-2023,Ulsan Hyundai FC,0 - 2,Gwangju FC
17-09-2023,FC Seoul,0 - 1,Gwangju FC
24-09-2023,Gwangju FC,0 - 1,Jeonbuk Motors
01-10-2023,Jeju United FC,1 - 2,Gwangju FC
08-10-2023,Gwangju FC,1 - 0,Gangwon FC
21-10-2023,Gwangju FC,1 - 0,Ulsan Hyundai FC
28-10-2023,Gwangju FC,0 - 2,Incheon United
11-11-2023,Daegu FC,1 - 1,Gwangju FC
25-11-2023,Jeonbuk Motors,2 - 0,Gwangju FC
03-12-2023,Gwangju FC,0 - 0,Pohang Steelers
25-02-2023,FC Seoul,2 - 1,Incheon United
04-03-2023,Incheon United,3 - 3,Daejeon Citizen
12-03-2023,Incheon United,1 - 0,Jeju United FC
18-03-2023,Gwangju FC,5 - 0,Incheon United
01-04-2023,Incheon United,0 - 0,Daegu FC
09-04-2023,Jeonbuk Motors,2 - 0,Incheon United
16-04-2023,Gangwon FC,0 - 2,Incheon United
22-04-2023,Incheon United,2 - 2,Suwon City FC
25-04-2023,Incheon United,0 - 1,Ulsan Hyundai FC
30-04-2023,Pohang Steelers,0 - 2,Incheon United
05-05-2023,Incheon United,0 - 1,Suwon Bluewings
10-05-2023,Jeju United FC,2 - 0,Incheon United
14-05-2023,Incheon United,0 - 0,Jeonbuk Motors
20-05-2023,Incheon United,1 - 1,Gwangju FC
27-05-2023,Daegu FC,2 - 2,Incheon United
04-06-2023,Daejeon Citizen,1 - 3,Incheon United
07-06-2023,Incheon United,1 - 1,FC Seoul
11-06-2023,Suwon Bluewings,0 - 0,Incheon United
25-06-2023,Incheon United,0 - 1,Pohang Steelers
02-07-2023,Incheon United,1 - 0,Gangwon FC
08-07-2023,Suwon City FC,2 - 2,Incheon United
12-07-2023,Ulsan Hyundai FC,1 - 2,Incheon United
16-07-2023,Incheon United,2 - 0,Daejeon Citizen
22-07-2023,FC Seoul,0 - 1,Incheon United
06-08-2023,Jeonbuk Motors,2 - 0,Incheon United
13-08-2023,Incheon United,3 - 1,Daegu FC
18-08-2023,Incheon United,2 - 2,Gwangju FC
25-08-2023,Suwon City FC,1 - 2,Incheon United
02-09-2023,Incheon United,0 - 2,Pohang Steelers
16-09-2023,Incheon United,2 - 1,Jeju United FC
24-09-2023,Gangwon FC,1 - 1,Incheon United
30-09-2023,Incheon United,2 - 0,Suwon Bluewings
08-10-2023,Ulsan Hyundai FC,0 - 0,Incheon United
20-10-2023,Pohang Steelers,1 - 1,Incheon United
28-10-2023,Gwangju FC,0 - 2,Incheon United
12-11-2023,Incheon United,1 - 1,Jeonbuk Motors
24-11-2023,Incheon United,3 - 1,Ulsan Hyundai FC
03-12-2023,Daegu FC,2 - 1,Incheon United
26-02-2023,Jeju United FC,0 - 0,Suwon City FC
04-03-2023,Daegu FC,1 - 1,Jeju United FC
12-03-2023,Incheon United,1 - 0,Jeju United FC
18-03-2023,Jeju United FC,1 - 2,FC Seoul
02-04-2023,Jeju United FC,1 - 3,Ulsan Hyundai FC
09-04-2023,Gangwon FC,0 - 1,Jeju United FC
15-04-2023,Suwon Bluewings,2 - 3,Jeju United FC
23-04-2023,Jeju United FC,0 - 2,Jeonbuk Motors
26-04-2023,Gwangju FC,0 - 1,Jeju United FC
30-04-2023,Daejeon Citizen,0 - 3,Jeju United FC
